553 124
377 100 63
428 331 74
454 59 84
40 353 76
317 486 27
389 103 18
387 227 82
366 507 37
448 192 3
543 212 13
250 279 28
321 383 69
433 270 56
4 186 78
194 207 2
72 350 50
268 82 62
416 467 73
157 277 93
237 374 47
412 110 13
35 392 86
26 459 73
537 540 59
475 318 27
44 185 40
443 58 72
202 137 41
22 305 52
21 493 2
179 541 24
524 29 40
547 151 51
187 488 9
508 353 50
376 287 94
98 115 20
280 506 56
513 361 53
298 439 39
12 52 77
144 31 73
176 96 86
158 41 21
40 427 75
371 235 89
439 30 39
245 155 1
165 13 86
187 291 9
488 350 65
381 446 33
2 455 58
456 94 26
262 19 43
323 255 82
277 140 78
487 489 88
497 322 68
384 501 63
387 69 84
425 408 47
318 273 23
7 199 1
234 484 64
63 322 51
65 136 44
389 47 18
406 145 68
393 100 53
229 291 50
502 382 71
173 438 63
419 134 90
297 401 5
189 468 50
510 180 36
533 175 77
379 251 52
70 417 64
154 264 25
484 41 66
523 277 24
363 307 77
324 501 99
174 245 12
16 373 97
221 362 20
141 249 69
265 38 3
379 529 61
26 304 57
159 424 33
377 229 81
141 510 45
261 339 77
358 298 7
370 81 41
147 133 16
49 45 66
142 61 60
134 501 69
230 178 14
278 349 1
146 395 60
181 358 35
200 553 36
205 195 43
500 441 16
382 484 5
370 297 17
248 373 85
375 467 35
214 493 65
24 421 55
475 498 13
341 76 51
179 319 83
460 314 43
473 247 65
7 539 47
493 337 64
468 343 31
361 90 87

