302 5377
142 213 1973
300 15 1332
74 198 1158
144 74 9100
10 289 1919
224 239 40
49 285 3745
210 92 5525
154 190 4438
30 180 9315
240 243 435
82 72 9549
236 158 4336
159 127 7463
141 20 1919
15 137 468
252 30 5976
145 131 7040
179 169 4594
8 91 1466
41 272 7445
11 112 8243
181 178 2766
265 291 7319
186 104 5606
140 159 5238
117 271 1277
7 213 2691
134 239 1344
82 230 8393
228 235 977
144 86 2599
57 120 9186
105 175 1921
245 259 874
91 72 5032
240 24 5067
164 67 8252
187 220 8935
80 217 2686
99 178 3306
32 215 4796
83 45 2238
185 260 7564
39 169 6238
149 218 6267
226 100 3628
131 40 1525
14 211 6932
216 187 7182
291 64 1662
241 245 9204
163 299 1789
3 163 3147
92 94 6880
83 252 4459
134 245 9163
76 217 2265
211 119 3018
178 174 73
127 109 4725
171 267 6440
141 293 2494
54 58 9041
237 85 7495
248 117 8212
283 186 4990
207 1 9704
33 174 2781
45 238 4204
171 114 2073
202 290 7863
25 119 8272
175 6 4133
142 156 3411
78 297 7532
295 190 1707
191 121 1630
92 84 2761
169 287 9356
244 283 5881
24 175 9548
215 79 6152
111 170 5111
114 176 3000
261 191 9325
233 291 3269
36 166 2565
56 289 6534
219 49 1125
222 154 1130
273 139 904
229 217 7535
190 21 1979
257 82 9469
77 212 5426
114 260 8620
178 33 784
174 26 8738
120 263 5858
169 233 9346
267 200 4088
286 71 6183
75 41 7546
201 249 2743
5 141 3272
161 170 393
188 268 6479
174 140 682
136 67 641
193 270 5482
23 33 2237
270 142 772
6 82 9662
281 292 8461
27 256 7674
246 257 3236
63 140 7487
29 70 7107
111 106 650
85 147 6253
3 28 7202
2 33 9152
52 164 2958
81 109 6278
165 221 6423
123 75 9335
125 285 6998
6 272 4822
255 75 7154
204 84 7074
100 286 6248
126 184 5321
190 244 6347
269 262 9045
132 149 1286
285 170 7390
211 266 3380
142 75 8284
210 105 722
78 72 1711
200 58 1364
230 168 1036
20 122 5905
152 150 8707
220 212 5967
175 201 6563
81 88 1275
19 60 1489
23 101 5037
33 70 1382
219 291 4510
189 155 9147
7 227 672
256 76 862
49 1 135
264 232 4577
278 286 7106
105 287 8611
129 269 5131
296 267 1462
127 85 9153
194 259 5126
128 6 374
19 31 9577
122 147 2730
196 35 3261
91 77 1752
171 227 1917
14 234 8750
149 280 1017
49 72 4333
128 76 2867
77 107 4687
37 151 9665
208 228 450
110 231 2191
53 134 2276
158 238 3216
269 134 4379
30 242 7592
285 58 7829
145 108 9936
203 54 1346
256 66 6258
6 69 5393
166 201 6663
29 272 8010
198 205 5715
249 185 1105
47 168 8921
68 46 2847
256 138 4038
277 99 1072
211 258 1961
161 242 8513
127 292 6923
296 280 3638
181 103 4157
210 7 1230
245 250 4257
226 204 4682
58 201 5669
38 111 8978
123 78 8807
148 219 9854
24 192 2172
221 292 3855
194 125 9368
202 73 4582
155 146 2321
20 96 4489
124 51 7305
189 284 7458
299 40 5784
121 203 7530
206 198 515
71 271 3299
288 287 295
185 266 7625
157 148 5757
168 178 319
248 78 4162
207 276 9113
286 107 5888
78 158 4071
56 110 9480
11 212 5729
302 189 3586
130 119 4899
103 179 1251
97 133 8058
133 219 9273
257 213 7709
222 167 8725
217 18 9221
103 135 8303
21 62 7734
272 276 2223
36 272 4886
46 224 2984
182 172 3900
6 236 1833
112 126 2899
203 128 1708
296 9 4960
47 97 9915
300 260 9928
47 31 438
235 75 7880
146 135 3501
94 83 4032
